CATEGORY_NAME,SUB_CATEGORY_NAME,ATTRIBUTE_NAME,SUB_ATTRIBUTE_NAME,LOWEST_TAXONOMY,HEALTH_INTEREST,REC_COUNT,SHARE_WITHIN_LOWEST_TAXONOMY,SHARE_WITHIN_HEALTH_INTEREST
Vitamins & minerals,Minerals,Iodine,Potassium iodide,Potassium iodide,Breast cancer,3,0.03125,0.02127659574
Herbal/Botanicals,Phytonutrients,Resveratrol,,Resveratrol,Breast cancer,3,0.02290076336,0.02127659574
Nutritional supplements,Other metabolites & bioactive compounds,Calcium d-glucarate,,Calcium d-glucarate,Breast cancer,2,0.03703703704,0.01418439716
Conditions & formulations,Cardiometabolic health,Cardiovascular support,,Cardiovascular support,Breast cancer,2,0.009009009009,0.01418439716
Herbal/Botanicals,Mushrooms,Chaga,,Chaga,Breast cancer,2,0.6666666667,0.01418439716
Nutritional supplements,Other metabolites & bioactive compounds,CoQ10,,CoQ10,Breast cancer,2,0.002666666667,0.01418439716
Conditions & formulations,Immune & inflammatory health,Inflammation support,,Inflammation support,Breast cancer,2,0.003448275862,0.01418439716
Herbal/Botanicals,Herbs,Turmeric (Curcumin),Meriva,Meriva,Breast cancer,2,0.004651162791,0.01418439716
Vitamins & minerals,Multivitamins & minerals,Multiminerals,,Multiminerals,Breast cancer,2,0.007874015748,0.01418439716
Herbal/Botanicals,Phytonutrients,Flavonoids,Quercetin,Quercetin,Breast cancer,2,0.008230452675,0.01418439716
Personal care & healthy living,Food & beverage,Seeds-salt-spices,,Seeds-salt-spices,Breast cancer,2,0.02564102564,0.01418439716
Conditions & formulations,Neurocognitive health & sleep,Sleep support,,Sleep support,Breast cancer,2,0.002430133657,0.01418439716
Vitamins & minerals,Vitamins,Vitamin E,Tocotrienols,Tocotrienols,Breast cancer,2,0.06666666667,0.01418439716
Vitamins & minerals,Multivitamins & minerals,Women's multivitamins,,Women's multivitamins,Breast cancer,2,0.01081081081,0.01418439716
Nutritional supplements,Probiotics,Akkermansia,Akkermansia (single-strain),Akkermansia (single-strain),Breast cancer,1,0.005649717514,0.007092198582
Nutritional supplements,Omegas & other fatty acids,Plant omegas,Algae oil,Algae oil,Breast cancer,1,0.009900990099,0.007092198582
Nutritional supplements,Other metabolites & bioactive compounds,Alpha lipoic acid (ALA),,Alpha lipoic acid (ALA),Breast cancer,1,0.002469135802,0.007092198582
Herbal/Botanicals,Phytonutrients,Flavonoids,Anthocyanins,Anthocyanins,Breast cancer,1,0.004901960784,0.007092198582
Herbal/Botanicals,Herbs,Artemisia (Wormwood),,Artemisia (Wormwood),Breast cancer,1,0.03333333333,0.007092198582
Herbal/Botanicals,Herbs,Boswellia (Indian frankincense),,Boswellia (Indian frankincense),Breast cancer,1,0.005555555556,0.007092198582
Conditions & formulations,Neurocognitive health & sleep,Brain support,,Brain support,Breast cancer,1,0.005128205128,0.007092198582
Conditions & formulations,Women's health,Breast & lactation support,,Breast & lactation support,Breast cancer,1,0.05555555556,0.007092198582
Nutritional supplements,Omegas & other fatty acids,Other fatty acids,Butyrate,Butyrate,Breast cancer,1,0.006535947712,0.007092198582
Herbal/Botanicals,Phytonutrients,Flavonoids,Citrus bioflavonoids,Citrus bioflavonoids,Breast cancer,1,0.002380952381,0.007092198582
Herbal/Botanicals,Herbs,Cohosh,,Cohosh,Breast cancer,1,0.0125,0.007092198582
Nutritional supplements,Amino acids,Amino compounds,Creatine,Creatine,Breast cancer,1,0.001366120219,0.007092198582
Herbal/Botanicals,Herbs,Turmeric (Curcumin),Curcumin C3,Curcumin C3,Breast cancer,1,0.005617977528,0.007092198582
Herbal/Botanicals,Herbs,Licorice,Deglycerrhizinated licorice (DGL),Deglycerrhizinated licorice (DGL),Breast cancer,1,0.003436426117,0.007092198582
Conditions & formulations,Endocrine & hormonal health,Estrogen support,,Estrogen support,Breast cancer,1,0.01639344262,0.007092198582
Nutritional supplements,Omegas & other fatty acids,Plant omegas,Flax seed oil,Flax seed oil,Breast cancer,1,0.02040816327,0.007092198582
Conditions & formulations,Gastrointestinal health,GI lining support,,GI lining support,Breast cancer,1,0.0009233610342,0.007092198582
Nutritional supplements,Amino acids,Peptides,Glutathione,Glutathione,Breast cancer,1,0.003076923077,0.007092198582
Conditions & formulations,Endocrine & hormonal health,Hormone balance support,,Hormone balance support,Breast cancer,1,0.004830917874,0.007092198582
Nutritional supplements,Other metabolites & bioactive compounds,Inositol,IP6,IP6,Breast cancer,1,0.25,0.007092198582
Nutritional supplements,Amino acids,Base amino acids,L-glutamine,L-glutamine,Breast cancer,1,0.002673796791,0.007092198582
Herbal/Botanicals,Phytonutrients,Carotenoids,Lutein & zeaxanthin,Lutein & zeaxanthin,Breast cancer,1,0.04166666667,0.007092198582
Herbal/Botanicals,Phytonutrients,Carotenoids,Lycopene,Lycopene,Breast cancer,1,0.5,0.007092198582
Nutritional supplements,Omegas & other fatty acids,Other fatty acids,Monolaurin,Monolaurin,Breast cancer,1,0.01666666667,0.007092198582
Nutritional supplements,Amino acids,Amino compounds,N-acetyl-cysteine (NAC),N-acetyl-cysteine (NAC),Breast cancer,1,0.001047120419,0.007092198582
Herbal/Botanicals,Herbs,Olive leaf,,Olive leaf,Breast cancer,1,0.01492537313,0.007092198582
Herbal/Botanicals,Phytonutrients,Flavonoids,Other flavonoids,Other flavonoids,Breast cancer,1,0.006329113924,0.007092198582
Vitamins & minerals,Minerals,Magnesium,Other magnesium,Other magnesium,Breast cancer,1,0.0007183908046,0.007092198582
Herbal/Botanicals,Mushrooms,Other mushrooms,,Other mushrooms,Breast cancer,1,0.009174311927,0.007092198582
Herbal/Botanicals,Mushrooms,Reishi,,Reishi,Breast cancer,1,0.02857142857,0.007092198582
Nutritional supplements,Probiotics,Saccharomyces,,Saccharomyces,Breast cancer,1,0.002433090024,0.007092198582
Vitamins & minerals,Minerals,Selenium,Selenomethionine,Selenomethionine,Breast cancer,1,0.003412969283,0.007092198582
Personal care & healthy living,Food & beverage,Snacks,,Snacks,Breast cancer,1,0.25,0.007092198582
Herbal/Botanicals,Herbs,Ashwagandha (Withania),Standard ashwagandha,Standard ashwagandha,Breast cancer,1,0.001501501502,0.007092198582
Herbal/Botanicals,Herbs,Turmeric (Curcumin),Standard turmeric/curcumin,Standard turmeric/curcumin,Breast cancer,1,0.002283105023,0.007092198582
Herbal/Botanicals,Herbs,Turmeric (Curcumin),Theracurmin,Theracurmin,Breast cancer,1,0.01351351351,0.007092198582
Nutritional supplements,Probiotics,Women's probiotics,,Women's probiotics,Breast cancer,1,0.002150537634,0.007092198582
Vitamins & minerals,Minerals,Zinc,Zinc picolinate,Zinc picolinate,Breast cancer,1,0.002212389381,0.007092198582
Vitamins & minerals,Minerals,Zinc,Zinc sulfate,Zinc sulfate,Breast cancer,1,0.01923076923,0.007092198582
Nutritional supplements,Omegas & other fatty acids,Plant omegas,Evening primrose oil,Evening primrose oil,Breast pain,19,0.2375,0.3114754098
Herbal/Botanicals,Phytonutrients,Indoles & sulphoraphane,,Indoles & sulphoraphane,Breast pain,19,0.05066666667,0.3114754098
Conditions & formulations,"Antiox, detox, & cellular health",Detox support,,Detox support,Breast pain,7,0.01397205589,0.1147540984
Herbal/Botanicals,Herbs,Vitex (Chasteberry),,Vitex (Chasteberry),Breast pain,2,0.008196721311,0.03278688525
Conditions & formulations,Women's health,Breast & lactation support,,Breast & lactation support,Breast pain,1,0.05555555556,0.01639344262
Nutritional supplements,Other metabolites & bioactive compounds,Calcium d-glucarate,,Calcium d-glucarate,Breast pain,1,0.01851851852,0.01639344262
Nutritional supplements,Hormones & glandulars,DHEA,,DHEA,Breast pain,1,0.001028806584,0.01639344262
Conditions & formulations,Endocrine & hormonal health,Estrogen support,,Estrogen support,Breast pain,1,0.01639344262,0.01639344262
Herbal/Botanicals,Herbs,Gotu kola,,Gotu kola,Breast pain,1,0.09090909091,0.01639344262
Homeopathy,Homeopathic remedies,Homeopathic singles,,Homeopathic singles,Breast pain,1,0.00243902439,0.01639344262
Vitamins & minerals,Minerals,Iodine,Kelp/Seaweed iodides,Kelp/Seaweed iodides,Breast pain,1,0.03571428571,0.01639344262
Nutritional supplements,Probiotics,Lacto-bifidobacteria,Lacto-bifidobacteria (single-strain),Lacto-bifidobacteria (single-strain),Breast pain,1,0.006024096386,0.01639344262
Nutritional supplements,Probiotics,Lacto-bifidobacteria,Lacto-bifidobacteria blends,Lacto-bifidobacteria blends,Breast pain,1,0.0006910850035,0.01639344262
Vitamins & minerals,Minerals,Magnesium,Magnesium glycinate,Magnesium glycinate,Breast pain,1,0.000253164557,0.01639344262
Nutritional supplements,Hormones & glandulars,Glandulars,Other glandulars,Other glandulars,Breast pain,1,0.002976190476,0.01639344262
Nutritional supplements,Enzymes,Systemic enzymes,Other systemic enzymes,Other systemic enzymes,Breast pain,1,0.008695652174,0.01639344262
Vitamins & minerals,Minerals,Iodine,Potassium iodide,Potassium iodide,Breast pain,1,0.01041666667,0.01639344262
Vitamins & minerals,Vitamins,Vitamin E,Tocopherols,Tocopherols,Breast pain,1,0.009090909091,0.01639344262
Conditions & formulations,Dermatological health,Hair support,Healthy hair support,Healthy hair support,Brittle hair,9,0.06,0.1451612903
Nutritional supplements,Collagen & protein,Collagen,Bovine collagen,Bovine collagen,Brittle hair,6,0.01967213115,0.09677419355
Nutritional supplements,Collagen & protein,Collagen,Other collagens,Other collagens,Brittle hair,5,0.03048780488,0.08064516129
Conditions & formulations,Dermatological health,Nails support,,Nails support,Brittle hair,4,0.09523809524,0.06451612903
Nutritional supplements,Omegas & other fatty acids,Fish oil,Balanced EPA/DHA,Balanced EPA/DHA,Brittle hair,3,0.001137225171,0.04838709677
Conditions & formulations,Dermatological health,Hair support,Hair growth support,Hair growth support,Brittle hair,3,0.03896103896,0.04838709677
Nutritional supplements,Collagen & protein,Collagen,Marine collagen,Marine collagen,Brittle hair,3,0.15,0.04838709677
Conditions & formulations,Dermatological health,Skin Support,,Skin Support,Brittle hair,3,0.02097902098,0.04838709677
Vitamins & minerals,Vitamins,Vitamin B7 (Biotin),,Vitamin B7 (Biotin),Brittle hair,3,0.05357142857,0.04838709677
Vitamins & minerals,Complexes & combos,B-complexes,,B-complexes,Brittle hair,2,0.0006814310051,0.03225806452
Nutritional supplements,Omegas & other fatty acids,Plant omegas,Black seed (cumin) oil,Black seed (cumin) oil,Brittle hair,2,0.01470588235,0.03225806452
Nutritional supplements,Omegas & other fatty acids,Plant omegas,Borage oil,Borage oil,Brittle hair,2,0.1052631579,0.03225806452
Nutritional supplements,Omegas & other fatty acids,Fish oil,EPA-dominant,EPA-dominant,Brittle hair,2,0.001530221882,0.03225806452
Vitamins & minerals,Multivitamins & minerals,Multiminerals,,Multiminerals,Brittle hair,2,0.007874015748,0.03225806452
Conditions & formulations,Musculoskeletal health & sport/exercise,Bone support,,Bone support,Brittle hair,1,0.001663893511,0.01612903226
Conditions & formulations,Neurocognitive health & sleep,Calming support,,Calming support,Brittle hair,1,0.001477104874,0.01612903226
Personal care & healthy living,Bath & body care,Hair care,Hair oils & creams,Hair oils & creams,Brittle hair,1,0.1,0.01612903226
Herbal/Botanicals,Phytonutrients,Indoles & sulphoraphane,,Indoles & sulphoraphane,Brittle hair,1,0.002666666667,0.01612903226
Conditions & formulations,Musculoskeletal health & sport/exercise,Joint support,,Joint support,Brittle hair,1,0.002958579882,0.01612903226
Conditions & formulations,Cardiometabolic health,Lipid support,,Lipid support,Brittle hair,1,0.002994011976,0.01612903226
Vitamins & minerals,Multivitamins & minerals,Multivitamins,,Multivitamins,Brittle hair,1,0.0009174311927,0.01612903226
Nutritional supplements,Amino acids,Amino compounds,Other amino acids,Other amino acids,Brittle hair,1,0.00293255132,0.01612903226
Nutritional supplements,Collagen & protein,Plant protein,Pea proteins,Pea proteins,Brittle hair,1,0.125,0.01612903226
Conditions & formulations,Men's health,Prostate support,,Prostate support,Brittle hair,1,0.006666666667,0.01612903226
Vitamins & minerals,Minerals,Other minerals,Silicon,Silicon,Brittle hair,1,0.02941176471,0.01612903226
Vitamins & minerals,Multivitamins & minerals,Women's multivitamins,,Women's multivitamins,Brittle hair,1,0.005405405405,0.01612903226
Vitamins & minerals,Minerals,Zinc,Zinc bisglycinate,Zinc bisglycinate,Brittle hair,1,0.003802281369,0.01612903226
Nutritional supplements,Collagen & protein,Collagen,Bovine collagen,Bovine collagen,Brittle nails,2,0.006557377049,0.1538461538
Conditions & formulations,Dermatological health,Hair support,Healthy hair support,Healthy hair support,Brittle nails,2,0.01333333333,0.1538461538
Conditions & formulations,Neurocognitive health & sleep,Brain support,,Brain support,Brittle nails,1,0.005128205128,0.07692307692
Vitamins & minerals,Complexes & combos,Calcium & magnesium,,Calcium & magnesium,Brittle nails,1,0.008,0.07692307692
Conditions & formulations,Cardiometabolic health,Cardiovascular support,,Cardiovascular support,Brittle nails,1,0.004504504505,0.07692307692
Nutritional supplements,Amino acids,Amino compounds,Other amino acids,Other amino acids,Brittle nails,1,0.00293255132,0.07692307692
Nutritional supplements,Collagen & protein,Collagen,Other collagens,Other collagens,Brittle nails,1,0.006097560976,0.07692307692
Nutritional supplements,Enzymes,Digestive enzymes,Other digestive enzymes,Other digestive enzymes,Brittle nails,1,0.0004692632567,0.07692307692
Vitamins & minerals,Minerals,Other minerals,Silicon,Silicon,Brittle nails,1,0.02941176471,0.07692307692
Conditions & formulations,Dermatological health,Skin Support,,Skin Support,Brittle nails,1,0.006993006993,0.07692307692
Vitamins & minerals,Minerals,Zinc,Zinc bisglycinate,Zinc bisglycinate,Brittle nails,1,0.003802281369,0.07692307692
Conditions & formulations,Immune & inflammatory health,Respiratory support,,Respiratory support,Bronchitis,7,0.08333333333,0.2413793103
Nutritional supplements,Amino acids,Amino compounds,N-acetyl-cysteine (NAC),N-acetyl-cysteine (NAC),Bronchitis,4,0.004188481675,0.1379310345
Nutritional supplements,Hormones & glandulars,Glandulars,Other glandulars,Other glandulars,Bronchitis,2,0.005952380952,0.06896551724
Nutritional supplements,Omegas & other fatty acids,Plant omegas,Black seed (cumin) oil,Black seed (cumin) oil,Bronchitis,1,0.007352941176,0.03448275862
Vitamins & minerals,Vitamins,Vitamin C,Buffered C (Ascorbates),Buffered C (Ascorbates),Bronchitis,1,0.00243902439,0.03448275862
Conditions & formulations,Traditional formulations,Chinese formulas,,Chinese formulas,Bronchitis,1,0.0036900369,0.03448275862
Vitamins & minerals,Minerals,Silver,Colloidal silver,Colloidal silver,Bronchitis,1,0.01098901099,0.03448275862
Homeopathy,Homeopathic remedies,Homeopathic singles,,Homeopathic singles,Bronchitis,1,0.00243902439,0.03448275862
Conditions & formulations,Immune & inflammatory health,Immune support,,Immune support,Bronchitis,1,0.002475247525,0.03448275862
Homeopathy,Homeopathic remedies,Immune support (Homeopathic),,Immune support (Homeopathic),Bronchitis,1,0.02631578947,0.03448275862
Vitamins & minerals,Vitamins,Vitamin B12 (Cobalamin),Methylcobalamin,Methylcobalamin,Bronchitis,1,0.001872659176,0.03448275862
Conditions & formulations,Gastrointestinal health,Microbial support,,Microbial support,Bronchitis,1,0.0007262164125,0.03448275862
Herbal/Botanicals,Herbs,Oregano,,Oregano,Bronchitis,1,0.004115226337,0.03448275862
Vitamins & minerals,Vitamins,Vitamin C,Other vitamin C,Other vitamin C,Bronchitis,1,0.025,0.03448275862
Nutritional supplements,Other metabolites & bioactive compounds,Propolis,,Propolis,Bronchitis,1,0.02702702703,0.03448275862
Homeopathy,Homeopathic remedies,Respiratory support (Homeopathic),,Respiratory support (Homeopathic),Bronchitis,1,0.04347826087,0.03448275862
Herbal/Botanicals,Herbs,Garlic (Allicin),Standard garlic,Standard garlic,Bronchitis,1,0.006802721088,0.03448275862
Vitamins & minerals,Complexes & combos,Vitamin D & K,,Vitamin D & K,Bronchitis,1,0.0001740947075,0.03448275862
Vitamins & minerals,Minerals,Zinc,Zinc sulfate,Zinc sulfate,Bronchitis,1,0.01923076923,0.03448275862
Conditions & formulations,Endocrine & hormonal health,Adrenal support,,Adrenal support,Burnout,8,0.005502063274,0.126984127
Conditions & formulations,Neurocognitive health & sleep,Stress support,,Stress support,Burnout,4,0.003868471954,0.06349206349
Vitamins & minerals,Minerals,Magnesium,Magnesium glycinate,Magnesium glycinate,Burnout,3,0.0007594936709,0.04761904762
Nutritional supplements,Amino acids,Amino compounds,Other amino acids,Other amino acids,Burnout,3,0.008797653959,0.04761904762
Nutritional supplements,Hormones & glandulars,Glandulars,Adrenal glandulars,Adrenal glandulars,Burnout,2,0.006968641115,0.03174603175
Nutritional supplements,Amino acids,Amino compounds,Creatine,Creatine,Burnout,2,0.002732240437,0.03174603175
Vitamins & minerals,Complexes & combos,Electrolytes,,Electrolytes,Burnout,2,0.00625,0.03174603175
Personal care & healthy living,Food & beverage,Herbal teas,,Herbal teas,Burnout,2,0.01818181818,0.03174603175
Nutritional supplements,Omegas & other fatty acids,Other fatty acids,Omega 3-6-9 ,Omega 3-6-9 ,Burnout,2,0.025,0.03174603175
Nutritional supplements,Hormones & glandulars,Pregnenolone,,Pregnenolone,Burnout,2,0.01234567901,0.03174603175
Vitamins & minerals,Multivitamins & minerals,Women's multivitamins,,Women's multivitamins,Burnout,2,0.01081081081,0.03174603175
Nutritional supplements,Omegas & other fatty acids,Plant omegas,Algae oil,Algae oil,Burnout,1,0.009900990099,0.01587301587
Vitamins & minerals,Complexes & combos,B-complexes,,B-complexes,Burnout,1,0.0003407155026,0.01587301587
Conditions & formulations,Neurocognitive health & sleep,Brain support,,Brain support,Burnout,1,0.005128205128,0.01587301587
Nutritional supplements,Other metabolites & bioactive compounds,CoQ10,,CoQ10,Burnout,1,0.001333333333,0.01587301587
Conditions & formulations,Neurocognitive health & sleep,Cognitive support,,Cognitive support,Burnout,1,0.002958579882,0.01587301587
Nutritional supplements,Hormones & glandulars,DHEA,,DHEA,Burnout,1,0.001028806584,0.01587301587
Nutritional supplements,Omegas & other fatty acids,Fish oil,EPA-dominant,EPA-dominant,Burnout,1,0.0007651109411,0.01587301587
Nutritional supplements,Amino acids,Peptides,Glutathione,Glutathione,Burnout,1,0.003076923077,0.01587301587
Conditions & formulations,Cardiometabolic health,Weight management support,Healthy weight support,Healthy weight support,Burnout,1,0.005681818182,0.01587301587
Herbal/Botanicals,Mushrooms,Lion's mane,,Lion's mane,Burnout,1,0.01075268817,0.01587301587
Conditions & formulations,Cardiometabolic health,Lipid support,,Lipid support,Burnout,1,0.002994011976,0.01587301587
Vitamins & minerals,Minerals,Lithium,Lithium orotate,Lithium orotate,Burnout,1,0.003460207612,0.01587301587
Vitamins & minerals,Minerals,Magnesium,Magnesium malate,Magnesium malate,Burnout,1,0.008403361345,0.01587301587
Vitamins & minerals,Minerals,Magnesium,Magnesium threonate,Magnesium threonate,Burnout,1,0.001686340641,0.01587301587
Vitamins & minerals,Multivitamins & minerals,Men's multivitamins,,Men's multivitamins,Burnout,1,0.01234567901,0.01587301587
Conditions & formulations,"Antiox, detox, & cellular health",Mitochondrial support,,Mitochondrial support,Burnout,1,0.004807692308,0.01587301587
Vitamins & minerals,Multivitamins & minerals,Multiminerals,,Multiminerals,Burnout,1,0.003937007874,0.01587301587
Nutritional supplements,Other metabolites & bioactive compounds,NAD/NADH/ATP,NAD,NAD,Burnout,1,0.02,0.01587301587
Conditions & formulations,Neurocognitive health & sleep,Nervous system support,,Nervous system support,Burnout,1,0.01020408163,0.01587301587
Nutritional supplements,Enzymes,Digestive enzymes,Other digestive enzymes,Other digestive enzymes,Burnout,1,0.0004692632567,0.01587301587
Nutritional supplements,Hormones & glandulars,Glandulars,Other glandulars,Other glandulars,Burnout,1,0.002976190476,0.01587301587
Vitamins & minerals,Minerals,Magnesium,Other magnesium,Other magnesium,Burnout,1,0.0007183908046,0.01587301587
Herbal/Botanicals,Mushrooms,Other mushrooms,,Other mushrooms,Burnout,1,0.009174311927,0.01587301587
Nutritional supplements,Collagen & protein,Plant protein,Other plant proteins,Other plant proteins,Burnout,1,0.01754385965,0.01587301587
Vitamins & minerals,Vitamins,Vitamin K,Other vitamin K,Other vitamin K,Burnout,1,0.01785714286,0.01587301587
Conditions & formulations,Immune & inflammatory health,Respiratory support,,Respiratory support,Burnout,1,0.0119047619,0.01587301587
Vitamins & minerals,Vitamins,Vitamin A,Retinyl palmitate,Retinyl palmitate,Burnout,1,0.01369863014,0.01587301587
Herbal/Botanicals,Herbs,Rhodiola,,Rhodiola,Burnout,1,0.006134969325,0.01587301587
Conditions & formulations,Neurocognitive health & sleep,Sleep support,,Sleep support,Burnout,1,0.001215066829,0.01587301587
Vitamins & minerals,Vitamins,Vitamin D,Vitamin D3 (Cholecalciferol),Vitamin D3 (Cholecalciferol),Burnout,1,0.0006631299735,0.01587301587
Vitamins & minerals,Minerals,Zinc,Zinc picolinate,Zinc picolinate,Burnout,1,0.002212389381,0.01587301587
Nutritional supplements,Omegas & other fatty acids,Fish oil,Balanced EPA/DHA,Balanced EPA/DHA,Bursitis,2,0.0007581501137,0.25
Herbal/Botanicals,Herbs,Boswellia (Indian frankincense),,Boswellia (Indian frankincense),Bursitis,1,0.005555555556,0.125
Herbal/Botanicals,Herbs,Turmeric (Curcumin),Curcumin C3,Curcumin C3,Bursitis,1,0.005617977528,0.125
Nutritional supplements,Amino acids,Peptides,Glutathione,Glutathione,Bursitis,1,0.003076923077,0.125
Conditions & formulations,Immune & inflammatory health,Inflammation support,,Inflammation support,Bursitis,1,0.001724137931,0.125
Vitamins & minerals,Minerals,Magnesium,Magnesium glycinate,Magnesium glycinate,Bursitis,1,0.000253164557,0.125
Herbal/Botanicals,Herbs,Turmeric (Curcumin),Standard turmeric/curcumin,Standard turmeric/curcumin,Bursitis,1,0.002283105023,0.125
Vitamins & minerals,Minerals,Calcium,Calcium citrate,Calcium citrate,Calcium deficiency,19,0.152,0.2533333333
Conditions & formulations,Musculoskeletal health & sport/exercise,Bone support,,Bone support,Calcium deficiency,8,0.01331114809,0.1066666667
Vitamins & minerals,Complexes & combos,Vitamin D & K,,Vitamin D & K,Calcium deficiency,8,0.00139275766,0.1066666667
Vitamins & minerals,Minerals,Calcium,Calcium malate,Calcium malate,Calcium deficiency,7,0.1666666667,0.09333333333
Vitamins & minerals,Minerals,Calcium,Other calcium,Other calcium,Calcium deficiency,7,0.04794520548,0.09333333333
Vitamins & minerals,Minerals,Calcium,MCHA,MCHA,Calcium deficiency,6,0.04081632653,0.08
Vitamins & minerals,Complexes & combos,Calcium & magnesium,,Calcium & magnesium,Calcium deficiency,5,0.04,0.06666666667
Nutritional supplements,Other metabolites & bioactive compounds,Calcium d-glucarate,,Calcium d-glucarate,Calcium deficiency,3,0.05555555556,0.04
Vitamins & minerals,Multivitamins & minerals,Multiminerals,,Multiminerals,Calcium deficiency,3,0.01181102362,0.04
Vitamins & minerals,Minerals,Magnesium,Other magnesium,Other magnesium,Calcium deficiency,2,0.001436781609,0.02666666667
Vitamins & minerals,Vitamins,Vitamin C,Ascorbic acid,Ascorbic acid,Calcium deficiency,1,0.001700680272,0.01333333333
Vitamins & minerals,Vitamins,Vitamin C,Buffered C (Ascorbates),Buffered C (Ascorbates),Calcium deficiency,1,0.00243902439,0.01333333333
Conditions & formulations,Gastrointestinal health,GI lining support,,GI lining support,Calcium deficiency,1,0.0009233610342,0.01333333333
Herbal/Botanicals,Phytonutrients,Indoles & sulphoraphane,,Indoles & sulphoraphane,Calcium deficiency,1,0.002666666667,0.01333333333
Conditions & formulations,Genitourinary health,Kidney support,,Kidney support,Calcium deficiency,1,0.01052631579,0.01333333333
Vitamins & minerals,Minerals,Strontium,Strontium citrate,Strontium citrate,Calcium deficiency,1,0.01492537313,0.01333333333
Conditions & formulations,Endocrine & hormonal health,Thyroid support,,Thyroid support,Calcium deficiency,1,0.001342281879,0.01333333333
Vitamins & minerals,Vitamins,Vitamin B6 (Pyridoxine),Pyridoxal 5'-phosphate (P5P),Pyridoxal 5'-phosphate (P5P),Carpal tunnel syndrome,4,0.03389830508,0.2857142857
Vitamins & minerals,Complexes & combos,B-complexes,,B-complexes,Carpal tunnel syndrome,1,0.0003407155026,0.07142857143
Herbal/Botanicals,Herbs,Boswellia (Indian frankincense),,Boswellia (Indian frankincense),Carpal tunnel syndrome,1,0.005555555556,0.07142857143
Nutritional supplements,Amino acids,Amino compounds,Creatine,Creatine,Carpal tunnel syndrome,1,0.001366120219,0.07142857143
Homeopathy,Homeopathic remedies,Homeopathic singles,,Homeopathic singles,Carpal tunnel syndrome,1,0.00243902439,0.07142857143
Conditions & formulations,Immune & inflammatory health,Inflammation support,,Inflammation support,Carpal tunnel syndrome,1,0.001724137931,0.07142857143
Herbal/Botanicals,Herbs,Turmeric (Curcumin),Meriva,Meriva,Carpal tunnel syndrome,1,0.002325581395,0.07142857143
Vitamins & minerals,Multivitamins & minerals,Multiminerals,,Multiminerals,Carpal tunnel syndrome,1,0.003937007874,0.07142857143
Nutritional supplements,Amino acids,Peptides,Other peptides,Other peptides,Carpal tunnel syndrome,1,0.00269541779,0.07142857143
Nutritional supplements,Omegas & other fatty acids,Fish oil,SPM,SPM,Carpal tunnel syndrome,1,0.003816793893,0.07142857143
Vitamins & minerals,Vitamins,Vitamin B2 (Riboflavin),,Vitamin B2 (Riboflavin),Carpal tunnel syndrome,1,0.006802721088,0.07142857143
Conditions & formulations,"Eye, ear, nose, & throat health",Eye support,,Eye support,Cataracts,6,0.03680981595,0.4285714286
Nutritional supplements,Other metabolites & bioactive compounds,Alpha lipoic acid (ALA),,Alpha lipoic acid (ALA),Cataracts,1,0.002469135802,0.07142857143
Nutritional supplements,Omegas & other fatty acids,Fish oil,Balanced EPA/DHA,Balanced EPA/DHA,Cataracts,1,0.0003790750569,0.07142857143
Conditions & formulations,"Antiox, detox, & cellular health",Detox support,,Detox support,Cataracts,1,0.001996007984,0.07142857143
Nutritional supplements,Amino acids,Peptides,Glutathione,Glutathione,Cataracts,1,0.003076923077,0.07142857143
Herbal/Botanicals,Phytonutrients,Carotenoids,Lutein & zeaxanthin,Lutein & zeaxanthin,Cataracts,1,0.04166666667,0.07142857143
Nutritional supplements,Amino acids,Amino compounds,N-acetyl-cysteine (NAC),N-acetyl-cysteine (NAC),Cataracts,1,0.001047120419,0.07142857143
Herbal/Botanicals,Herbs,Saffron,,Saffron,Cataracts,1,0.006024096386,0.07142857143
Vitamins & minerals,Minerals,Zinc,Zinc bisglycinate,Zinc bisglycinate,Cataracts,1,0.003802281369,0.07142857143
Nutritional supplements,Enzymes,Digestive enzymes,Other digestive enzymes,Other digestive enzymes,Celiac disease,22,0.01032379165,0.25
Conditions & formulations,Gastrointestinal health,GI lining support,,GI lining support,Celiac disease,11,0.01015697138,0.125
Nutritional supplements,Amino acids,Base amino acids,L-glutamine,L-glutamine,Celiac disease,7,0.01871657754,0.07954545455
Nutritional supplements,Probiotics,Lacto-bifidobacteria,Lacto-bifidobacteria blends,Lacto-bifidobacteria blends,Celiac disease,7,0.004837595024,0.07954545455
Vitamins & minerals,Multivitamins & minerals,Multivitamins,,Multivitamins,Celiac disease,5,0.004587155963,0.05681818182
Vitamins & minerals,Complexes & combos,B-complexes,,B-complexes,Celiac disease,3,0.001022146508,0.03409090909
Nutritional supplements,Amino acids,Peptides,Colostrum & immunoglobulins,Colostrum & immunoglobulins,Celiac disease,3,0.006423982869,0.03409090909
Vitamins & minerals,Complexes & combos,Electrolytes,,Electrolytes,Celiac disease,3,0.009375,0.03409090909
Nutritional supplements,Probiotics,Saccharomyces,,Saccharomyces,Celiac disease,3,0.007299270073,0.03409090909
Vitamins & minerals,Minerals,Magnesium,Other magnesium,Other magnesium,Celiac disease,2,0.001436781609,0.02272727273
