CATEGORY_NAME,SUB_CATEGORY_NAME,ATTRIBUTE_NAME,SUB_ATTRIBUTE_NAME,LOWEST_TAXONOMY,HEALTH_INTEREST,HEALTH_AREA,REC_COUNT,SHARE_WITHIN_LOWEST_TAXONOMY,SHARE_WITHIN_HEALTH_INTEREST
Conditions & formulations,"Antiox, detox, & cellular health",Energy support,,Energy support,Allergic rhinitis,Respiratory Immune Support,1,0.02702702703,0.001402524544
Personal care & healthy living,Household essentials,Essential oils,,Essential oils,Allergic rhinitis,Respiratory Immune Support,1,0.01851851852,0.001402524544
Herbal/Botanicals,Herbs,Fenugreek,,Fenugreek,Allergic rhinitis,Respiratory Immune Support,1,0.04545454545,0.001402524544
Homeopathy,Homeopathic remedies,Flower essences,,Flower essences,Allergic rhinitis,Respiratory Immune Support,1,0.06666666667,0.001402524544
Conditions & formulations,Gastrointestinal health,GI lining support,,GI lining support,Allergic rhinitis,Respiratory Immune Support,1,0.0009165902841,0.001402524544
Homeopathy,Homeopathic remedies,GI support (Homeopathic),,GI support (Homeopathic),Allergic rhinitis,Respiratory Immune Support,1,0.01492537313,0.001402524544
Conditions & formulations,Dermatological health,Hair support,Healthy hair support,Healthy hair support,Allergic rhinitis,Respiratory Immune Support,1,0.006578947368,0.001402524544
Homeopathy,Homeopathic remedies,Homeopathic combinations,,Homeopathic combinations,Allergic rhinitis,Respiratory Immune Support,1,0.01492537313,0.001402524544
Homeopathy,Homeopathic remedies,Immune support (Homeopathic),,Immune support (Homeopathic),Allergic rhinitis,Respiratory Immune Support,1,0.02564102564,0.001402524544
Herbal/Botanicals,Phytonutrients,Indoles & sulphoraphane,,Indoles & sulphoraphane,Allergic rhinitis,Respiratory Immune Support,1,0.002652519894,0.001402524544
Nutritional supplements,Amino acids,Base amino acids,L-glutamine,L-glutamine,Allergic rhinitis,Respiratory Immune Support,1,0.002666666667,0.001402524544
Conditions & formulations,"Antiox, detox, & cellular health",Liver/hepatic support,,Liver/hepatic support,Allergic rhinitis,Respiratory Immune Support,1,0.001879699248,0.001402524544
Herbal/Botanicals,Herbs,Olive leaf,,Olive leaf,Allergic rhinitis,Respiratory Immune Support,1,0.01492537313,0.001402524544
Nutritional supplements,Probiotics,Other probiotic species,,Other probiotic species,Allergic rhinitis,Respiratory Immune Support,1,0.01282051282,0.001402524544
Vitamins & minerals,Minerals,Zinc,Other zinc,Other zinc,Allergic rhinitis,Respiratory Immune Support,1,0.01351351351,0.001402524544
Nutritional supplements,Other metabolites & bioactive compounds,PEA,,PEA,Allergic rhinitis,Respiratory Immune Support,1,0.008,0.001402524544
Herbal/Botanicals,Herbs,Perilla,,Perilla,Allergic rhinitis,Respiratory Immune Support,1,0.125,0.001402524544
Vitamins & minerals,Multivitamins & minerals,Prenatal vitamins,,Prenatal vitamins,Allergic rhinitis,Respiratory Immune Support,1,0.001420454545,0.001402524544
Homeopathy,Homeopathic remedies,Respiratory support (Homeopathic),,Respiratory support (Homeopathic),Allergic rhinitis,Respiratory Immune Support,1,0.04166666667,0.001402524544
Homeopathy,Homeopathic remedies,Sleep support (Homeopathic),,Sleep support (Homeopathic),Allergic rhinitis,Respiratory Immune Support,1,0.04347826087,0.001402524544
Herbal/Botanicals,Herbs,Slippery elm (Ulmus),,Slippery elm (Ulmus),Allergic rhinitis,Respiratory Immune Support,1,0.02325581395,0.001402524544
Herbal/Botanicals,Phytonutrients,Greens & superfoods,Spirulina,Spirulina,Allergic rhinitis,Respiratory Immune Support,1,0.09090909091,0.001402524544
Vitamins & minerals,Vitamins,Vitamin D,Vitamin D3 (Cholecalciferol),Vitamin D3 (Cholecalciferol),Allergic rhinitis,Respiratory Immune Support,1,0.0006570302234,0.001402524544
Vitamins & minerals,Minerals,Lithium,Lithium orotate,Lithium orotate,Alzheimer's disease,Neurodegenerative Support,12,0.04152249135,0.2307692308
Nutritional supplements,Amino acids,Amino compounds,Creatine,Creatine,Alzheimer's disease,Neurodegenerative Support,5,0.006793478261,0.09615384615
Vitamins & minerals,Minerals,Magnesium,Magnesium threonate,Magnesium threonate,Alzheimer's disease,Neurodegenerative Support,5,0.008305647841,0.09615384615
Nutritional supplements,Hormones & glandulars,Pregnenolone,,Pregnenolone,Alzheimer's disease,Neurodegenerative Support,3,0.01851851852,0.05769230769
Nutritional supplements,Omegas & other fatty acids,Fish oil,Balanced EPA/DHA,Balanced EPA/DHA,Alzheimer's disease,Neurodegenerative Support,2,0.0007535795026,0.03846153846
Nutritional supplements,Other metabolites & bioactive compounds,Citicoline,,Citicoline,Alzheimer's disease,Neurodegenerative Support,2,0.07407407407,0.03846153846
Conditions & formulations,Neurocognitive health & sleep,Cognitive support,,Cognitive support,Alzheimer's disease,Neurodegenerative Support,2,0.005865102639,0.03846153846
Nutritional supplements,Amino acids,Amino compounds,Other amino acids,Other amino acids,Alzheimer's disease,Neurodegenerative Support,2,0.005865102639,0.03846153846
Vitamins & minerals,Complexes & combos,Vitamin D & K,,Vitamin D & K,Alzheimer's disease,Neurodegenerative Support,2,0.0003459609064,0.03846153846
Conditions & formulations,Musculoskeletal health & sport/exercise,Bone support,,Bone support,Alzheimer's disease,Neurodegenerative Support,1,0.001661129568,0.01923076923
Conditions & formulations,Neurocognitive health & sleep,Brain support,,Brain support,Alzheimer's disease,Neurodegenerative Support,1,0.005102040816,0.01923076923
Nutritional supplements,Omegas & other fatty acids,Fish oil,DHA-dominant,DHA-dominant,Alzheimer's disease,Neurodegenerative Support,1,0.004032258065,0.01923076923
Conditions & formulations,"Antiox, detox, & cellular health",Detox support,,Detox support,Alzheimer's disease,Neurodegenerative Support,1,0.001984126984,0.01923076923
Nutritional supplements,Omegas & other fatty acids,Fish oil,EPA-dominant,EPA-dominant,Alzheimer's disease,Neurodegenerative Support,1,0.0007610350076,0.01923076923
Vitamins & minerals,Complexes & combos,Electrolytes,,Electrolytes,Alzheimer's disease,Neurodegenerative Support,1,0.003115264798,0.01923076923
Herbal/Botanicals,Phytonutrients,Flavonoids,Green tea catechins,Green tea catechins,Alzheimer's disease,Neurodegenerative Support,1,0.01785714286,0.01923076923
Herbal/Botanicals,Phytonutrients,Indoles & sulphoraphane,,Indoles & sulphoraphane,Alzheimer's disease,Neurodegenerative Support,1,0.002652519894,0.01923076923
Herbal/Botanicals,Mushrooms,Lion's mane,,Lion's mane,Alzheimer's disease,Neurodegenerative Support,1,0.01052631579,0.01923076923
Nutritional supplements,Omegas & other fatty acids,Other fatty acids,MCTs,MCTs,Alzheimer's disease,Neurodegenerative Support,1,0.01428571429,0.01923076923
Conditions & formulations,"Antiox, detox, & cellular health",Mitochondrial support,,Mitochondrial support,Alzheimer's disease,Neurodegenerative Support,1,0.004807692308,0.01923076923
Vitamins & minerals,Multivitamins & minerals,Multivitamins,,Multivitamins,Alzheimer's disease,Neurodegenerative Support,1,0.0009115770283,0.01923076923
Nutritional supplements,Other metabolites & bioactive compounds,NAD/NADH/ATP,NAD,NAD,Alzheimer's disease,Neurodegenerative Support,1,0.02,0.01923076923
Herbal/Botanicals,Mushrooms,Other mushrooms,,Other mushrooms,Alzheimer's disease,Neurodegenerative Support,1,0.009174311927,0.01923076923
Nutritional supplements,Amino acids,Peptides,Other peptides,Other peptides,Alzheimer's disease,Neurodegenerative Support,1,0.002688172043,0.01923076923
Nutritional supplements,Other metabolites & bioactive compounds,PQQ,,PQQ,Alzheimer's disease,Neurodegenerative Support,1,0.07692307692,0.01923076923
Nutritional supplements,Omegas & other fatty acids,Fish oil,SPM,SPM,Alzheimer's disease,Neurodegenerative Support,1,0.003802281369,0.01923076923
Vitamins & minerals,Vitamins,Vitamin C,Ascorbic acid,Ascorbic acid,Amyotrophic lateral sclerosis,Neurodegenerative Support,1,0.001694915254,0.3333333333
Conditions & formulations,Musculoskeletal health & sport/exercise,Exercise & recovery support,,Exercise & recovery support,Amyotrophic lateral sclerosis,Neurodegenerative Support,1,0.01724137931,0.3333333333
Herbal/Botanicals,Mushrooms,Lion's mane,,Lion's mane,Amyotrophic lateral sclerosis,Neurodegenerative Support,1,0.01052631579,0.3333333333
Vitamins & minerals,Minerals,Iron,Iron bisglycinate,Iron bisglycinate,Anemia,Blood Support,456,0.1772250291,0.4784889822
Vitamins & minerals,Minerals,Iron,Other iron,Other iron,Anemia,Blood Support,162,0.2750424448,0.1699895068
Vitamins & minerals,Complexes & combos,B-complexes,,B-complexes,Anemia,Blood Support,50,0.01693766938,0.05246589717
Nutritional supplements,Hormones & glandulars,Glandulars,Other glandulars,Other glandulars,Anemia,Blood Support,45,0.1339285714,0.04721930745
Vitamins & minerals,Vitamins,Vitamin C,Ascorbic acid,Ascorbic acid,Anemia,Blood Support,29,0.04915254237,0.03043022036
Vitamins & minerals,Multivitamins & minerals,Multivitamins,,Multivitamins,Anemia,Blood Support,22,0.02005469462,0.02308499475
Vitamins & minerals,Complexes & combos,Vitamin B12 & folate,,Vitamin B12 & folate,Anemia,Blood Support,22,0.04021937843,0.02308499475
Nutritional supplements,Amino acids,Peptides,Lactoferrin,Lactoferrin,Anemia,Blood Support,18,0.3157894737,0.01888772298
Conditions & formulations,Traditional formulations,Chinese formulas,,Chinese formulas,Anemia,Blood Support,15,0.05514705882,0.01573976915
Vitamins & minerals,Vitamins,Vitamin C,Buffered C (Ascorbates),Buffered C (Ascorbates),Anemia,Blood Support,14,0.03389830508,0.01469045121
Vitamins & minerals,Minerals,Iron,Iron pyrophosphate,Iron pyrophosphate,Anemia,Blood Support,11,0.2972972973,0.01154249738
Vitamins & minerals,Vitamins,Vitamin B12 (Cobalamin),Methylcobalamin,Methylcobalamin,Anemia,Blood Support,7,0.01303538175,0.007345225603
Herbal/Botanicals,Phytonutrients,Greens & superfoods,Chlorella,Chlorella,Anemia,Blood Support,6,0.1363636364,0.00629590766
Conditions & formulations,Cardiometabolic health,Methylation support,,Methylation support,Anemia,Blood Support,6,0.03370786517,0.00629590766
Vitamins & minerals,Vitamins,Vitamin B12 (Cobalamin),Other vitamin B12,Other vitamin B12,Anemia,Blood Support,6,0.01744186047,0.00629590766
Nutritional supplements,Amino acids,Amino compounds,Betaine HCl,Betaine HCl,Anemia,Blood Support,5,0.02293577982,0.005246589717
Vitamins & minerals,Minerals,Copper,Copper glycinate,Copper glycinate,Anemia,Blood Support,5,0.07246376812,0.005246589717
Homeopathy,Homeopathic remedies,Homeopathic singles,,Homeopathic singles,Anemia,Blood Support,5,0.01210653753,0.005246589717
Vitamins & minerals,Vitamins,Children's vitamins,,Children's vitamins,Anemia,Blood Support,4,0.1025641026,0.004197271773
Vitamins & minerals,Multivitamins & minerals,Prenatal vitamins,,Prenatal vitamins,Anemia,Blood Support,4,0.005681818182,0.004197271773
Nutritional supplements,Probiotics,Bacillus (Spore-based),Bacillus blends,Bacillus blends,Anemia,Blood Support,3,0.005494505495,0.00314795383
Vitamins & minerals,Minerals,Children's minerals,,Children's minerals,Anemia,Blood Support,3,0.05882352941,0.00314795383
Vitamins & minerals,Vitamins,Vitamin B9 (Folate),Folic acid,Folic acid,Anemia,Blood Support,3,0.1,0.00314795383
Vitamins & minerals,Vitamins,Vitamin B9 (Folate),L-5-MTHF (L-methylfolate),L-5-MTHF (L-methylfolate),Anemia,Blood Support,3,0.01298701299,0.00314795383
Vitamins & minerals,Complexes & combos,Vitamin D & K,,Vitamin D & K,Anemia,Blood Support,3,0.0005189413596,0.00314795383
Vitamins & minerals,Minerals,Zinc,Zinc picolinate,Zinc picolinate,Anemia,Blood Support,3,0.006578947368,0.00314795383
Conditions & formulations,Cardiometabolic health,Cardiovascular support,,Cardiovascular support,Anemia,Blood Support,2,0.008968609865,0.002098635887
Nutritional supplements,Amino acids,Peptides,Glutathione,Glutathione,Anemia,Blood Support,2,0.006097560976,0.002098635887
Conditions & formulations,Endocrine & hormonal health,Hormone balance support,,Hormone balance support,Anemia,Blood Support,2,0.009661835749,0.002098635887
Vitamins & minerals,Minerals,Magnesium,Magnesium glycinate,Magnesium glycinate,Anemia,Blood Support,2,0.0005028916269,0.002098635887
Conditions & formulations,"Antiox, detox, & cellular health",Mitochondrial support,,Mitochondrial support,Anemia,Blood Support,2,0.009615384615,0.002098635887
Vitamins & minerals,Multivitamins & minerals,Multiminerals,,Multiminerals,Anemia,Blood Support,2,0.007751937984,0.002098635887
Vitamins & minerals,Minerals,Magnesium,Other magnesium,Other magnesium,Anemia,Blood Support,2,0.001421464108,0.002098635887
Vitamins & minerals,Vitamins,Vitamin B12 (Cobalamin),Adenosylcobalamin,Adenosylcobalamin,Anemia,Blood Support,1,0.05,0.001049317943
Conditions & formulations,Endocrine & hormonal health,Adrenal support,,Adrenal support,Anemia,Blood Support,1,0.0006849315068,0.001049317943
Nutritional supplements,Probiotics,Akkermansia,Akkermansia blends,Akkermansia blends,Anemia,Blood Support,1,0.0125,0.001049317943
Nutritional supplements,Amino acids,Amino compounds,Anhydrous Betaine,Anhydrous Betaine,Anemia,Blood Support,1,0.01923076923,0.001049317943
Vitamins & minerals,Vitamins,Vitamin B1 (Thiamine),Benfotiamine,Benfotiamine,Anemia,Blood Support,1,0.01136363636,0.001049317943
Conditions & formulations,Cardiometabolic health,Blood sugar support,,Blood sugar support,Anemia,Blood Support,1,0.00198019802,0.001049317943
Vitamins & minerals,Multivitamins & minerals,Children's multivitamins,Children's multis,Children's multis,Anemia,Blood Support,1,0.03846153846,0.001049317943
Conditions & formulations,Gastrointestinal health,GI lining support,,GI lining support,Anemia,Blood Support,1,0.0009165902841,0.001049317943
Herbal/Botanicals,Phytonutrients,Flavonoids,Green tea catechins,Green tea catechins,Anemia,Blood Support,1,0.01785714286,0.001049317943
Conditions & formulations,Dermatological health,Hair support,Healthy hair support,Healthy hair support,Anemia,Blood Support,1,0.006578947368,0.001049317943
Nutritional supplements,Amino acids,Base amino acids,L-theanine,L-theanine,Anemia,Blood Support,1,0.0008130081301,0.001049317943
Nutritional supplements,Probiotics,Lacto-bifidobacteria,Lacto-bifidobacteria blends,Lacto-bifidobacteria blends,Anemia,Blood Support,1,0.0006868131868,0.001049317943
Conditions & formulations,"Antiox, detox, & cellular health",Liver/hepatic support,,Liver/hepatic support,Anemia,Blood Support,1,0.001879699248,0.001049317943
Vitamins & minerals,Minerals,Magnesium,Magnesium malate,Magnesium malate,Anemia,Blood Support,1,0.008403361345,0.001049317943
Vitamins & minerals,Minerals,Magnesium,Magnesium threonate,Magnesium threonate,Anemia,Blood Support,1,0.001661129568,0.001049317943
Nutritional supplements,Other metabolites & bioactive compounds,Medical Foods,,Medical Foods,Anemia,Blood Support,1,0.004464285714,0.001049317943
Herbal/Botanicals,Herbs,Milk thistle,,Milk thistle,Anemia,Blood Support,1,0.004587155963,0.001049317943
Conditions & formulations,Neurocognitive health & sleep,Nervous system support,,Nervous system support,Anemia,Blood Support,1,0.009900990099,0.001049317943
Herbal/Botanicals,Herbs,Nettles (Urtica),,Nettles (Urtica),Anemia,Blood Support,1,0.05263157895,0.001049317943
Nutritional supplements,Collagen & protein,Collagen,Other collagens,Other collagens,Anemia,Blood Support,1,0.006097560976,0.001049317943
Vitamins & minerals,Minerals,Copper,Other copper,Other copper,Anemia,Blood Support,1,0.08333333333,0.001049317943
Herbal/Botanicals,Phytonutrients,Greens & superfoods,Other greens & superfoods,Other greens & superfoods,Anemia,Blood Support,1,0.005882352941,0.001049317943
Vitamins & minerals,Vitamins,Vitamin C,Other vitamin C,Other vitamin C,Anemia,Blood Support,1,0.025,0.001049317943
Vitamins & minerals,Minerals,Zinc,Other zinc,Other zinc,Anemia,Blood Support,1,0.01351351351,0.001049317943
Herbal/Botanicals,Phytonutrients,Greens & superfoods,Spirulina,Spirulina,Anemia,Blood Support,1,0.09090909091,0.001049317943
Vitamins & minerals,Vitamins,Vitamin D,Vitamin D3 (Cholecalciferol),Vitamin D3 (Cholecalciferol),Anemia,Blood Support,1,0.0006570302234,0.001049317943
Nutritional supplements,Collagen & protein,Whey & animal protein,Whey concentrate,Whey concentrate,Anemia,Blood Support,1,0.05555555556,0.001049317943
Vitamins & minerals,Multivitamins & minerals,Women's multivitamins,,Women's multivitamins,Anemia,Blood Support,1,0.005291005291,0.001049317943
Vitamins & minerals,Minerals,Zinc,Zinc bisglycinate,Zinc bisglycinate,Anemia,Blood Support,1,0.003745318352,0.001049317943
Nutritional supplements,Other metabolites & bioactive compounds,CoQ10,,CoQ10,Angina (chest pain),Heart & Circulatory Support,2,0.002656042497,0.5
Herbal/Botanicals,Phytonutrients,Flavonoids,Anthocyanins,Anthocyanins,Angina (chest pain),Heart & Circulatory Support,1,0.004830917874,0.25
Herbal/Botanicals,Herbs,Turmeric (Curcumin),Curcumin C3,Curcumin C3,Angina (chest pain),Heart & Circulatory Support,1,0.005586592179,0.25
Vitamins & minerals,Multivitamins & minerals,Multivitamins,,Multivitamins,Anorexia nervosa,Weight Management Support,4,0.003646308113,0.3636363636
Nutritional supplements,Omegas & other fatty acids,Fish oil,Balanced EPA/DHA,Balanced EPA/DHA,Anorexia nervosa,Weight Management Support,2,0.0007535795026,0.1818181818
Vitamins & minerals,Complexes & combos,B-complexes,,B-complexes,Anorexia nervosa,Weight Management Support,1,0.0003387533875,0.09090909091
Vitamins & minerals,Multivitamins & minerals,Children's multivitamins,Children's multis+,Children's multis+,Anorexia nervosa,Weight Management Support,1,0.02380952381,0.09090909091
Conditions & formulations,Neurocognitive health & sleep,Cognitive support,,Cognitive support,Anorexia nervosa,Weight Management Support,1,0.00293255132,0.09090909091
Conditions & formulations,Endocrine & hormonal health,Pancreatic support,,Pancreatic support,Anorexia nervosa,Weight Management Support,1,0.01086956522,0.09090909091
Vitamins & minerals,Minerals,Zinc,Zinc bisglycinate,Zinc bisglycinate,Anorexia nervosa,Weight Management Support,1,0.003745318352,0.09090909091
Nutritional supplements,Hormones & glandulars,DHEA,,DHEA,Anorgasmia,Sexual Health,1,0.001024590164,0.5
Conditions & formulations,Neurocognitive health & sleep,Stress support,,Stress support,Anorgasmia,Sexual Health,1,0.0009633911368,0.5
Herbal/Botanicals,Herbs,Vitex (Chasteberry),,Vitex (Chasteberry),Anovulation,Female Fertility Support,9,0.03673469388,0.4090909091
Nutritional supplements,Other metabolites & bioactive compounds,Inositol,Myo-inositol + d-chiro,Myo-inositol + d-chiro,Anovulation,Female Fertility Support,5,0.006527415144,0.2272727273
Vitamins & minerals,Vitamins,Vitamin C,Ascorbic acid,Ascorbic acid,Anovulation,Female Fertility Support,1,0.001694915254,0.04545454545
Herbal/Botanicals,Herbs,Cohosh,,Cohosh,Anovulation,Female Fertility Support,1,0.01219512195,0.04545454545
Nutritional supplements,Omegas & other fatty acids,Plant omegas,Evening primrose oil,Evening primrose oil,Anovulation,Female Fertility Support,1,0.0125,0.04545454545
Nutritional supplements,Amino acids,Amino compounds,N-acetyl-cysteine (NAC),N-acetyl-cysteine (NAC),Anovulation,Female Fertility Support,1,0.00103950104,0.04545454545
Conditions & formulations,Women's health,Pregnancy support,,Pregnancy support,Anovulation,Female Fertility Support,1,0.09090909091,0.04545454545
Vitamins & minerals,Multivitamins & minerals,Prenatal vitamins,,Prenatal vitamins,Anovulation,Female Fertility Support,1,0.001420454545,0.04545454545
Conditions & formulations,Endocrine & hormonal health,Progesterone support,,Progesterone support,Anovulation,Female Fertility Support,1,0.009009009009,0.04545454545
Vitamins & minerals,Minerals,Zinc,Zinc carnosine,Zinc carnosine,Anovulation,Female Fertility Support,1,0.006134969325,0.04545454545
Nutritional supplements,Amino acids,Base amino acids,L-theanine,L-theanine,Anxiety,Anxiety Support,710,0.5772357724,0.1715804737
Vitamins & minerals,Minerals,Magnesium,Magnesium glycinate,Magnesium glycinate,Anxiety,Anxiety Support,573,0.1440784511,0.1384726921
Nutritional supplements,Amino acids,Amino compounds,GABA,GABA,Anxiety,Anxiety Support,357,0.6230366492,0.08627356211
Conditions & formulations,Neurocognitive health & sleep,Calming support,,Calming support,Anxiety,Anxiety Support,356,0.5212298682,0.08603189947
Conditions & formulations,Neurocognitive health & sleep,Stress support,,Stress support,Anxiety,Anxiety Support,210,0.2023121387,0.05074915418
Conditions & formulations,Neurocognitive health & sleep,Sleep support,,Sleep support,Anxiety,Anxiety Support,185,0.2234299517,0.04470758821
Herbal/Botanicals,Herbs,Ashwagandha (Withania),Standard ashwagandha,Standard ashwagandha,Anxiety,Anxiety Support,176,0.2634730539,0.04253262446
Vitamins & minerals,Minerals,Magnesium,Other magnesium,Other magnesium,Anxiety,Anxiety Support,97,0.06894100924,0.02344127598
Conditions & formulations,Endocrine & hormonal health,Adrenal support,,Adrenal support,Anxiety,Anxiety Support,96,0.06575342466,0.02319961334
Vitamins & minerals,Complexes & combos,B-complexes,,B-complexes,Anxiety,Anxiety Support,96,0.0325203252,0.02319961334
Nutritional supplements,Other metabolites & bioactive compounds,Inositol,Myo-inositol,Myo-inositol,Anxiety,Anxiety Support,89,0.165735568,0.02150797487
Nutritional supplements,Amino acids,Amino compounds,N-acetyl-cysteine (NAC),N-acetyl-cysteine (NAC),Anxiety,Anxiety Support,79,0.08212058212,0.01909134848
Vitamins & minerals,Minerals,Magnesium,Magnesium threonate,Magnesium threonate,Anxiety,Anxiety Support,71,0.1179401993,0.01715804737
Vitamins & minerals,Minerals,Lithium,Lithium orotate,Lithium orotate,Anxiety,Anxiety Support,58,0.2006920415,0.01401643306
Conditions & formulations,Neurocognitive health & sleep,Mood support,,Mood support,Anxiety,Anxiety Support,58,0.3602484472,0.01401643306
Nutritional supplements,Omegas & other fatty acids,Fish oil,Balanced EPA/DHA,Balanced EPA/DHA,Anxiety,Anxiety Support,48,0.01808590806,0.01159980667
Homeopathy,Homeopathic remedies,Homeopathic singles,,Homeopathic singles,Anxiety,Anxiety Support,45,0.1089588378,0.01087481875
Herbal/Botanicals,Herbs,Saffron,,Saffron,Anxiety,Anxiety Support,43,0.2574850299,0.01039149348
Nutritional supplements,Amino acids,Base amino acids,5-HTP,5-HTP,Anxiety,Anxiety Support,41,0.238372093,0.009908168197
Herbal/Botanicals,Herbs,Kava,,Kava,Anxiety,Anxiety Support,34,0.5762711864,0.008216529725
Nutritional supplements,Probiotics,Lacto-bifidobacteria,Lacto-bifidobacteria blends,Lacto-bifidobacteria blends,Anxiety,Anxiety Support,34,0.02335164835,0.008216529725
Homeopathy,Homeopathic remedies,Mood support (Homeopathic),,Mood support (Homeopathic),Anxiety,Anxiety Support,27,0.7105263158,0.006524891252
Vitamins & minerals,Complexes & combos,Vitamin D & K,,Vitamin D & K,Anxiety,Anxiety Support,25,0.00432451133,0.006041565974
Conditions & formulations,Children's health,Children's sleep & calming support,,Children's sleep & calming support,Anxiety,Anxiety Support,21,0.4285714286,0.005074915418
Herbal/Botanicals,Herbs,Lemon balm (Melissa),,Lemon balm (Melissa),Anxiety,Anxiety Support,19,0.4523809524,0.00459159014
Vitamins & minerals,Multivitamins & minerals,Multivitamins,,Multivitamins,Anxiety,Anxiety Support,18,0.01640838651,0.004349927501
Nutritional supplements,Omegas & other fatty acids,Fish oil,EPA-dominant,EPA-dominant,Anxiety,Anxiety Support,17,0.01293759513,0.004108264862
Personal care & healthy living,Food & beverage,Herbal teas,,Herbal teas,Anxiety,Anxiety Support,16,0.1441441441,0.003866602223
Herbal/Botanicals,Herbs,Passionflower,,Passionflower,Anxiety,Anxiety Support,16,0.4102564103,0.003866602223
Nutritional supplements,Other metabolites & bioactive compounds,Phosphatidylserine,,Phosphatidylserine,Anxiety,Anxiety Support,16,0.08163265306,0.003866602223
Herbal/Botanicals,Herbs,Rhodiola,,Rhodiola,Anxiety,Anxiety Support,16,0.09523809524,0.003866602223
Vitamins & minerals,Vitamins,Vitamin B9 (Folate),L-5-MTHF (L-methylfolate),L-5-MTHF (L-methylfolate),Anxiety,Anxiety Support,15,0.06493506494,0.003624939584
Nutritional supplements,Amino acids,Amino compounds,Other amino acids,Other amino acids,Anxiety,Anxiety Support,15,0.04398826979,0.003624939584
Nutritional supplements,Amino acids,Amino compounds,SAM-e,SAM-e,Anxiety,Anxiety Support,14,0.1386138614,0.003383276945
Herbal/Botanicals,Herbs,Valerian,,Valerian,Anxiety,Anxiety Support,14,0.2295081967,0.003383276945
Homeopathy,Homeopathic remedies,Adrenal support (Homeopathic),,Adrenal support (Homeopathic),Anxiety,Anxiety Support,13,0.4193548387,0.003141614306
Homeopathy,Homeopathic remedies,Brain & nervous system support (Homeopathic),,Brain & nervous system support (Homeopathic),Anxiety,Anxiety Support,13,0.4482758621,0.003141614306
Nutritional supplements,Amino acids,Base amino acids,Glycine,Glycine,Anxiety,Anxiety Support,13,0.07428571429,0.003141614306
Vitamins & minerals,Minerals,Magnesium,Magnesium citrate,Magnesium citrate,Anxiety,Anxiety Support,13,0.01427003293,0.003141614306
Nutritional supplements,Amino acids,Base amino acids,Taurine,Taurine,Anxiety,Anxiety Support,13,0.1287128713,0.003141614306
Conditions & formulations,Neurocognitive health & sleep,Brain support,,Brain support,Anxiety,Anxiety Support,12,0.0612244898,0.002899951667
Nutritional supplements,Probiotics,Lacto-bifidobacteria,Lacto-bifidobacteria (single-strain),Lacto-bifidobacteria (single-strain),Anxiety,Anxiety Support,12,0.07142857143,0.002899951667
Herbal/Botanicals,Herbs,Ashwagandha (Withania),KSM-66,KSM-66,Anxiety,Anxiety Support,11,0.2820512821,0.002658289029
Vitamins & minerals,Vitamins,Vitamin B6 (Pyridoxine),Pyridoxal 5'-phosphate (P5P),Pyridoxal 5'-phosphate (P5P),Anxiety,Anxiety Support,11,0.09243697479,0.002658289029
Conditions & formulations,Traditional formulations,Chinese formulas,,Chinese formulas,Anxiety,Anxiety Support,10,0.03676470588,0.00241662639
Homeopathy,Homeopathic remedies,Flower essences,,Flower essences,Anxiety,Anxiety Support,10,0.6666666667,0.00241662639
Vitamins & minerals,Vitamins,Vitamin D,Vitamin D3 (Cholecalciferol),Vitamin D3 (Cholecalciferol),Anxiety,Anxiety Support,10,0.006570302234,0.00241662639
Nutritional supplements,Other metabolites & bioactive compounds,Inositol,Myo-inositol + d-chiro,Myo-inositol + d-chiro,Anxiety,Anxiety Support,8,0.01044386423,0.001933301112
Vitamins & minerals,Minerals,Zinc,Other zinc,Other zinc,Anxiety,Anxiety Support,8,0.1081081081,0.001933301112
Vitamins & minerals,Multivitamins & minerals,Women's multivitamins,,Women's multivitamins,Anxiety,Anxiety Support,8,0.04232804233,0.001933301112
Vitamins & minerals,Minerals,Zinc,Zinc picolinate,Zinc picolinate,Anxiety,Anxiety Support,8,0.01754385965,0.001933301112
Conditions & formulations,Endocrine & hormonal health,Progesterone support,,Progesterone support,Anxiety,Anxiety Support,7,0.06306306306,0.001691638473
Nutritional supplements,Amino acids,Amino compounds,Creatine,Creatine,Anxiety,Anxiety Support,6,0.008152173913,0.001449975834
Herbal/Botanicals,Herbs,Echinacea,,Echinacea,Anxiety,Anxiety Support,6,0.1875,0.001449975834
Conditions & formulations,Neurocognitive health & sleep,Nervous system support,,Nervous system support,Anxiety,Anxiety Support,6,0.05940594059,0.001449975834
Herbal/Botanicals,Mushrooms,Other mushrooms,,Other mushrooms,Anxiety,Anxiety Support,6,0.05504587156,0.001449975834
Animal health,Pet care,Pet health,,Pet health,Anxiety,Anxiety Support,6,0.2222222222,0.001449975834
Herbal/Botanicals,Herbs,Ashwagandha (Withania),Sensoril,Sensoril,Anxiety,Anxiety Support,6,0.2727272727,0.001449975834
Vitamins & minerals,Minerals,Zinc,Zinc bisglycinate,Zinc bisglycinate,Anxiety,Anxiety Support,6,0.02247191011,0.001449975834
Conditions & formulations,Neurocognitive health & sleep,Cognitive support,,Cognitive support,Anxiety,Anxiety Support,5,0.0146627566,0.001208313195
Herbal/Botanicals,Herbs,Skullcap,,Skullcap,Anxiety,Anxiety Support,5,0.25,0.001208313195
